description,height,weight,base_experience,is_legendary,is_mythical,generation,hp,attack,defense,special-attack,special-defense,speed
POKeMON kome se divili od prošlosti zbog svoje lepote. Trči okretno kao na krilima. Legendarni POKe MON u Kini. Mnogi ljudi su očarani njegovom gracioznošću i lepotom dok trče. Ovaj legendarni kineski POKEMON smatra se veličanstvenim. Mnogi ljudi su očarani njegovom velikom grivom.,19,1550,194,FALSE,FALSE,generation-i,90,110,80,100,80,95
"Živeo je u džungli pre oko 100 miliona godina. Lobanja mu je tvrda kao gvožđe. Vaskrsao je iz fosila nalik gvozdenoj kugli. Obara plen udarcima glavom. Doživotni stanovnik džungle od pre 100 miliona godina, lomio bi drveće koje je ometalo udarcima glavom.",9,315,70,FALSE,FALSE,generation-iv,67,125,40,30,30,58
"GARDEVOIR ima sposobnost čitanja budućnosti. Ako oseti preteću opasnost za svog TRENERA, kaže se da ovaj POKeMON oslobađa svoju psihokinetičku energiju punom snagom. GARDEVOIR ima psihokinetičku moć da iskrivi dimenzije i stvori malu crnu rupu. Ovaj POKeMON će pokušati da zaštiti svog TRENERA čak i rizikujući sopstveni život. Očigledno ne oseća privlačenje gravitacije jer se podržava psihičkom snagom. Daće svoj život da zaštiti svog TRENERA.",16,484,233,FALSE,FALSE,generation-iii,68,65,65,125,115,80
"VIGOROT uvek svrbi i uznemiren da divlja. Jednostavno ne može da toleriše mirno sedenje ni minut. Nivo stresa ovog POKeMON-a raste ako se ne može stalno kretati. VIGOROT jednostavno nije u stanju da ostane miran. Čak i kada pokuša da zaspi, krv u njegovim venama se uznemiri, primoravajući ovog POKEMONA da divlja po džungli pre nego što se smiri. Ne može da miruje jer mu krv ključa od energije. Po ceo dan trči kroz polja i planine da se smiri. Ako nije, ne može da spava noću.",14,465,154,FALSE,FALSE,generation-iii,80,80,80,55,55,90
"Koristi svoju snažnu psihičku moć da stisne mozak svog protivnika, izazivajući nepodnošljive glavobolje. Ovaj Pokemon nikada nije viđen dok se nije pojavio izdaleka u pustinji pre 50 godina. Glasine o njegovom poreklu povezuju se sa mestom pada NLO-a u pustinji pre 50 godina.",5,90,67,FALSE,FALSE,generation-v,55,55,55,85,55,30
"Miris začina dolazi oko njegovog vrata. Nekako, ako ga njušite, poželite da se borite. Začinska aroma izvire iz njegovog vrata. Aroma deluje kao stimulans za obnavljanje zdravlja. Miris koji se širi iz lišća na njegovom vratu izaziva da svako ko ga oseti da postane energičan.",12,158,142,FALSE,FALSE,generation-ii,60,62,80,63,80,60
"Ovaj Pokemon može lako da otopi rupe u tvrdim stenama tečnošću koja se izlučuje iz njegovih usta. Pravi rupu u odgovarajućoj steni. Ako se taj kamen razbije, Pokemon ostaje uznemiren dok ne pronađe zamenu. Kada pronađe kamen odgovarajuće veličine, luči tečnost iz svojih usta da otvori rupu u koju može da se uvuče.",3,145,65,FALSE,FALSE,generation-v,50,65,85,35,35,55
"Organ koji emituje svoju intenzivnu psihičku moć je zaklonjen ušima kako ne bi došlo do curenja snage. Ima dovoljno psihičke energije da raznese sve u krugu od 300 stopa od sebe, ali nema kontrolu nad svojom moći. Iako se Espurrov izraz nikada ne menja, iza tog praznog pogleda krije se intenzivna borba da se obuzda njegova razorna psihička moć.",3,35,71,FALSE,FALSE,generation-vi,62,48,54,63,60,68
Pokemon koji su formirala još trojica. Užurbano nosi slatki cvetni med do VESPIKUEN-a. Sakuplja i isporučuje med svojoj koloniji. Noću se skupljaju u košnicu i spavaju. Trio je zajedno od rođenja. Stalno skuplja med sa cveća da bi zadovoljio VESPIKUEN.,3,55,49,FALSE,FALSE,generation-iv,30,30,42,30,42,70
"Rođen na hladnom morskom dnu, preplivaće velike udaljenosti da bi se vratio u svoje rodno mesto. Voda čini 80% njegovog tela. Na ovog Pokemona lako utiče okruženje. Rođen je sa čudesnom moći koja mu omogućava da se poveže sa bilo kojom vrstom Pokemona.",3,14,270,FALSE,TRUE,generation-iv,100,100,100,100,100,100
"Jedenje grančice ispunjava ga energijom, a njegove prostrane uši daju oduška vazduhu toplijem od 390 stepeni Farenhajta. Dok hoda, gricka grančicu umesto užine. On zastrašuje protivnike tako što izbacuje vreli vazduh iz ušiju.",4,94,61,FALSE,FALSE,generation-vi,40,45,40,62,60,60
"FEEBAS-ova peraja su raščupana i otrcana od početka svog života. Zbog svog lošeg izgleda, ovaj POKeMON se uglavnom ignoriše. Može da živi i u moru i u rekama. Dok je FEEBAS-ovo telo u dronjcima, ono ima izdržljivu i upornu životnu snagu koja mu omogućava da živi bilo gde. Međutim, ovaj POKeMON je takođe spor i glup, što ga čini lakim ulovom. FEEBAS žive u barama koje su jako zaražene korovom. Zbog svog beznadežno otrcanog izgleda, izgleda kao da ga malo TRENERA podiže.",6,74,40,FALSE,FALSE,generation-iii,20,15,20,10,55,80
On slobodno kontroliše tri male jedinice zvane Mini-Noses koristeći magnetnu silu. Odiše jakim magnetizmom sa svih strana. Kontroliše tri male jedinice nazvane Mini-Noses. Kontroliše tri jedinice zvane Mini-nosovi koristeći magnetnu silu. Sa njima može napasti neprijatelja iz tri pravca.,14,3400,184,FALSE,FALSE,generation-iv,60,55,145,75,150,40
"Bore se za svoje prijatelje ne razmišljajući o opasnosti po sebe. Može se nositi auto dok leti. Što više ožiljaka imaju, više poštovanja imaju ovi hrabri vojnici neba od svojih vršnjaka. Zbog svojih prijatelja, ovaj hrabri nebeski ratnik neće prestati da se bori, čak i ako je povređen.",15,410,179,FALSE,FALSE,generation-v,100,123,75,57,75,80
